coin_id,coin_name,coin_code,info_url,price,h1,h24,d7,h24_volume,market_cap,sparkline_url,market_per_trade
15985,Automata,ATA,https://www.coingecko.com/en/coins/automata,1.69,2.7,30,192,722255624,284983982,https://www.coingecko.com/coins/15985/sparkline,2.5343727002874146
11970,Serum,SRM,https://www.coingecko.com/en/coins/serum,7.63,0.7,8.5,-2.9,759623048,379836204,https://www.coingecko.com/coins/11970/sparkline,1.9998700492489125
14751,Mobox,MBOX,https://www.coingecko.com/en/coins/mobox,9.54,-1,-5.7,121.1,505185759,281165978,https://www.coingecko.com/coins/14751/sparkline,1.7967528027164084
11095,JUST,JST,https://www.coingecko.com/en/coins/just,0.070368745651,-0.3,4.1,-0.5,114287904,100991713,https://www.coingecko.com/coins/11095/sparkline,1.1316562577763187
14375,My Neighbor Alice,ALICE,https://www.coingecko.com/en/coins/my-neighbor-alice,22.07,-0.1,24,69.7,397326083,382422133,https://www.coingecko.com/coins/14375/sparkline,1.0389725089473312
12390,Alchemy Pay,ACH,https://www.coingecko.com/en/coins/alchemy-pay,0.118487,2.5,16.9,35.7,160130095,213609512,https://www.coingecko.com/coins/12390/sparkline,0.749639346584903
12424,Sun Token,SUN,https://www.coingecko.com/en/coins/sun-token,0.032608237233,0.1,9.9,-8,121312651,162562875,https://www.coingecko.com/coins/12424/sparkline,0.7462506491718973
14577,Tokocrypto,TKO,https://www.coingecko.com/en/coins/tokocrypto,3.33,0.2,16.4,45,183269563,253850117,https://www.coingecko.com/coins/14577/sparkline,0.7219597342159192
14051,Mask Network,MASK,https://www.coingecko.com/en/coins/mask-network,15.92,-0.7,14.4,132.4,319764392,479480347,https://www.coingecko.com/coins/14051/sparkline,0.6668978071795715
14676,Alien Worlds,TLM,https://www.coingecko.com/en/coins/alien-worlds,0.330344,-1.2,12.1,19.9,254971534,405520102,https://www.coingecko.com/coins/14676/sparkline,0.6287518984693883
2962,COTI,COTI,https://www.coingecko.com/en/coins/coti,0.386036,0.1,9,31.5,178449348,334683656,https://www.coingecko.com/coins/2962/sparkline,0.5331881160040871
9108,FLEX Coin,FLEX,https://www.coingecko.com/en/coins/flex-coin,1.89,0.1,4.1,-4.5,71710640,148416917,https://www.coingecko.com/coins/9108/sparkline,0.48317025747139053
5000,Chromia,CHR,https://www.coingecko.com/en/coins/chromia,0.412968,1.3,10.7,8.3,104238650,232873232,https://www.coingecko.com/coins/5000/sparkline,0.4476197161209151
605,Enzyme,MLN,https://www.coingecko.com/en/coins/enzyme,129.94,1.8,-10.2,38.5,83829279,187342806,https://www.coingecko.com/coins/605/sparkline,0.44746462802526826
11620,Paris Saint-Germain Fan Token,PSG,https://www.coingecko.com/en/coins/paris-saint-germain-fan-token,35.19,-0.9,3.5,1.1,44316155,102930093,https://www.coingecko.com/coins/11620/sparkline,0.43054614747117737
10366,Smooth Love Potion,SLP,https://www.coingecko.com/en/coins/smooth-love-potion,0.142568,-1.1,3.9,-14.8,100914558,240325670,https://www.coingecko.com/coins/10366/sparkline,0.4199075279806772
14498,Ellipsis,EPS,https://www.coingecko.com/en/coins/ellipsis,0.864337,-0.9,7.2,11.5,112357929,278353698,https://www.coingecko.com/coins/14498/sparkline,0.40365164827089883
17569,JOE,JOE,https://www.coingecko.com/en/coins/joe,1.92,8.4,10.7,442.2,47602625,126428669,https://www.coingecko.com/coins/17569/sparkline,0.37651764727508125
4639,Bifrost,BFC,https://www.coingecko.com/en/coins/bifrost,0.435934,-0.9,1.8,-17.2,133788814,372938290,https://www.coingecko.com/coins/4639/sparkline,0.35874249865842417
